FID,ET_ID,Lat,Lon
834,0,30.3744,-104.8281
835,0,30.3744,-104.8281
836,0,30.3744,-104.8267
837,0,30.3745,-104.824
838,0,30.3746,-104.8208
839,0,30.3749,-104.82
840,0,30.3751,-104.8166
841,0,30.3721,-104.8178
842,0,30.3716,-104.8183
843,0,30.3701,-104.8191
844,0,30.3686,-104.8191
845,0,30.368,-104.8194
846,0,30.3679,-104.8188
847,0,30.3678,-104.8187
848,0,30.3667,-104.8172
849,0,30.3664,-104.8161
850,0,30.3665,-104.814
851,0,30.3669,-104.8126
852,0,30.3667,-104.8115
853,0,30.3617,-104.8111
854,0,30.3613,-104.8112
855,0,30.3602,-104.8132
856,0,30.3556,-104.8137
857,0,30.3532,-104.8147
858,0,30.3523,-104.8167
859,0,30.3522,-104.8181
860,0,30.3518,-104.8199
861,0,30.3516,-104.822
862,0,30.3501,-104.8217
863,0,30.3499,-104.8221
864,0,30.3495,-104.8215
865,0,30.3494,-104.8215
866,0,30.3478,-104.8201
867,0,30.3467,-104.8177
868,0,30.3465,-104.8175
869,0,30.3438,-104.8142
870,0,30.3428,-104.8128
871,0,30.3415,-104.811
872,0,30.3392,-104.8103
873,0,30.3391,-104.8103
874,0,30.3344,-104.811
875,0,30.3339,-104.8114
876,0,30.3336,-104.8111
877,0,30.3327,-104.8113
878,0,30.3258,-104.7918
879,0,30.3175,-104.788
880,0,30.3103,-104.7771
881,0,30.3033,-104.779
882,0,30.3041,-104.7751
883,0,30.3036,-104.7736
884,0,30.3036,-104.7718
885,0,30.3035,-104.7704
886,0,30.3038,-104.7688
887,0,30.305,-104.7663
888,0,30.304,-104.7647
889,0,30.2897,-104.7603
890,0,30.2885,-104.7601
891,0,30.2859,-104.7603
892,0,30.2826,-104.7599
893,0,30.2822,-104.7596
894,0,30.2822,-104.7598
895,0,30.2804,-104.7596
896,0,30.2765,-104.762
897,0,30.2746,-104.7632
898,0,30.2714,-104.7578
899,0,30.273,-104.7523
900,0,30.2737,-104.7497
901,0,30.2733,-104.7487
902,0,30.2728,-104.7483
903,0,30.2705,-104.7487
904,0,30.2665,-104.7494
905,0,30.2655,-104.7502
906,0,30.264,-104.7504
907,0,30.2622,-104.7504
908,0,30.2619,-104.7502
909,0,30.2617,-104.7502
910,0,30.2615,-104.7497
911,0,30.2605,-104.7488
912,0,30.26,-104.7466
913,0,30.26,-104.7464
914,0,30.2559,-104.737
915,0,30.261,-104.7371
916,0,30.261,-104.7369
917,0,30.2612,-104.7359
918,0,30.2612,-104.7349
919,0,30.261,-104.7333
920,0,30.2608,-104.733
921,0,30.2574,-104.7296
922,0,30.2504,-104.7226
923,0,30.2504,-104.7225
924,0,30.2481,-104.7207
925,0,30.2461,-104.7188
926,0,30.2453,-104.7182
927,0,30.2444,-104.7178
928,0,30.243,-104.7162
929,0,30.2424,-104.7156
930,0,30.2393,-104.7145
931,0,30.2385,-104.7135
932,0,30.2375,-104.7107
933,0,30.2358,-104.7079
934,0,30.2354,-104.7075
935,0,30.234,-104.7063
936,0,30.2339,-104.7063
937,0,30.2232,-104.711
938,0,30.2195,-104.7092
939,0,30.2093,-104.7042
940,0,30.2087,-104.7044
941,0,30.2075,-104.7038
942,0,30.2073,-104.7032
943,0,30.1935,-104.6964
944,0,30.1923,-104.6966
945,0,30.1906,-104.6956
